                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.94416,                 1.1809,                 1.1527,                0.63486,                0.53734,                 0.5529,                0.37839,                 1.2573,                 2.0353,                  1.562,              0.0012104,              0.0012104,              0.0012104
                     34,                0.92494,                 1.1488,                 1.1249,                0.64621,                0.55925,                0.60573,                0.46466,                 1.0989,                 1.4948,                 1.3802,              0.0012092,              0.0012092,              0.0012092
                     35,                0.88859,                 1.0613,                 1.1136,                0.41283,                0.64637,                0.62166,                0.48343,                 1.1044,                 1.8501,                 1.3474,              0.0012079,              0.0012079,              0.0012079
                     36,                0.86602,                 1.0609,                 1.0886,                 0.8311,                0.38324,                0.64615,                0.49933,                 1.0917,                 1.8315,                 1.3395,              0.0012067,              0.0012067,              0.0012067
                     37,                0.83663,                 1.0092,                  1.068,                0.75452,                0.54225,                0.67903,                0.54148,                 0.9481,                 1.6286,                 1.2331,              0.0012055,              0.0012055,              0.0012055
                     38,                0.89294,                  1.058,                 1.1156,                0.82897,                0.59903,                0.65642,                0.52854,                 1.0184,                 1.4579,                 1.3426,              0.0012042,              0.0012042,              0.0012042
                     39,                0.89761,                 1.0464,                  1.104,                0.79868,                0.54427,                0.66094,                0.51561,                 1.0195,                 1.3761,                 1.3196,               0.001203,               0.001203,               0.001203
                     40,                0.88101,                 1.1519,                 1.1497,                0.85138,                 0.5692,                0.64714,                0.51188,                 1.0567,                 1.4463,                 1.3525,              0.0012017,              0.0012017,              0.0012017
                     41,                0.88039,                  1.017,                 1.0898,                0.84239,                0.55107,                0.60082,                0.45398,                  1.163,                 1.8021,                 1.4679,              0.0012005,              0.0012005,              0.0012005
                     42,                0.89619,                 1.0421,                 1.1242,                0.95645,                0.58369,                0.62367,                0.51214,                  1.126,                 1.6765,                 1.4684,              0.0011993,              0.0011993,              0.0011993
                     43,                0.88637,                 1.0524,                 1.1243,                0.95537,                0.57424,                0.65109,                 0.5201,                 1.0411,                 1.4368,                 1.3398,               0.001198,               0.001198,               0.001198
                     44,                0.81571,                0.96372,                 1.0717,                0.90336,                 0.6164,                0.69481,                0.56115,                 1.0188,                 1.3877,                  1.281,              0.0011968,              0.0011968,              0.0011968
                     45,                0.85913,                0.95294,                 1.0923,                0.96448,                0.61201,                0.67642,                0.52927,                 1.1046,                 1.4995,                 1.3652,              0.0011955,              0.0011955,              0.0011955
                     46,                 0.9304,                 1.0335,                 1.1263,                0.71333,                0.65747,                0.65324,                0.39976,                 1.4781,                 1.6424,                 1.6728,              0.0011943,              0.0011943,              0.0011943
                     47,                0.87186,                0.95158,                 1.1068,                0.64736,                0.59903,                0.59531,                0.43734,                 1.3506,                 1.6448,                  1.608,              0.0011931,              0.0011931,              0.0011931
                     48,                 0.9043,                0.97358,                 1.1196,                0.81994,                0.65044,                0.66502,                0.50393,                 1.0954,                 1.4008,                 1.3815,              0.0011918,              0.0011918,              0.0011918
                     49,                0.89257,                0.94096,                 1.1104,                0.88136,                0.63639,                0.68267,                0.49656,                 1.1656,                 1.5249,                 1.4226,              0.0011906,              0.0011906,              0.0011906
                     50,                 0.8671,                0.92673,                 1.0834,                0.91802,                0.64808,                0.68766,                0.51973,                 1.0776,                 1.4558,                  1.375,              0.0011894,              0.0011894,              0.0011894
                     51,                0.84006,                0.88793,                 1.0829,                0.71395,                0.61441,                0.64513,                0.49051,                 1.1798,                 1.5901,                 1.4411,              0.0011881,              0.0011881,              0.0011881
                     52,                0.85251,                0.93024,                  1.081,                0.76406,                0.59141,                0.64864,                 0.4806,                 1.2002,                  1.712,                 1.4704,              0.0011869,              0.0011869,              0.0011869
                     53,                0.85624,                0.90104,                 1.1015,                0.67777,                0.48896,                0.60287,                0.45214,                 1.3212,                 2.1063,                  1.644,              0.0011856,              0.0011856,              0.0011856
                     54,                0.82957,                0.88144,                 1.0675,                0.55672,                0.47539,                0.57996,                0.42935,                 1.2804,                 2.1938,                 1.6155,              0.0011844,              0.0011844,              0.0011844
                     55,                0.87541,                0.95392,                 1.0747,                0.84994,                0.60899,                0.67495,                0.52129,                 1.1046,                 1.7447,                 1.4871,              0.0011832,              0.0011832,              0.0011832
                     56,                0.85332,                0.89708,                 1.1046,                0.92909,                0.66153,                0.69572,                0.58615,                 1.0288,                 1.5969,                 1.4327,              0.0011819,              0.0011819,              0.0011819
                     57,                0.84663,                0.89171,                 1.0645,                0.94085,                0.65684,                 0.7108,                0.53824,                 1.0791,                 1.6002,                 1.4218,              0.0011807,              0.0011807,              0.0011807
                     58,                0.82355,                0.84161,                 1.0702,                0.92029,                0.65159,                0.71392,                0.53029,                 1.1838,                 1.5359,                  1.512,              0.0011795,              0.0011795,              0.0011795
                     59,                0.85125,                0.90163,                 1.0973,                 0.8541,                0.65596,                0.79486,                  0.566,                  1.111,                 1.3909,                 1.3816,              0.0011782,              0.0011782,              0.0011782
                     60,                0.81141,                 0.8721,                 1.0787,                0.89416,                0.72411,                0.82546,                0.61952,                0.99664,                 1.1878,                 1.2959,               0.001177,               0.001177,               0.001177
                     61,                0.82541,                0.86621,                 1.0666,                0.95995,                0.74319,                0.80738,                0.65262,                0.95778,                 1.0097,                 1.2365,              0.0011757,              0.0011757,              0.0011757
