                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3123,                 3.0234,                 1.3082,                0.01237,                0.97885,                0.52407,                 0.3034,                 1.1707,                 2.8572,                 1.1827,              0.0002625,              0.0002625,              0.0002625
                      1,                   1.32,                 2.0238,                  1.269,                0.80078,                0.27131,                0.54451,                0.30102,                 1.3123,                 2.7625,                 1.3552,             0.00053218,             0.00053218,             0.00053218
                      2,                 1.2431,                 1.7156,                 1.2377,                0.77072,                0.47512,                0.66011,                0.37979,                 1.3191,                 2.4627,                  1.334,             0.00079641,             0.00079641,             0.00079641
                      3,                 1.2589,                 1.5578,                 1.2348,                0.73289,                0.57546,                0.71374,                0.40037,                 1.4047,                  2.145,                 1.3888,              0.0010552,              0.0010552,              0.0010552
                      4,                 1.2696,                 1.5563,                 1.2525,                0.64165,                0.71966,                0.74515,                0.46739,                 1.2963,                 1.8674,                 1.2998,              0.0012005,              0.0012005,              0.0012005
                      5,                 1.1941,                 1.4669,                 1.2086,                0.61588,                0.70943,                0.72175,                0.45103,                 1.3068,                  1.809,                 1.3041,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1779,                 1.3941,                 1.1841,                0.78935,                0.76309,                 0.8077,                0.52473,                 1.1813,                 1.4953,                 1.1852,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.1808,                 1.3681,                  1.189,                0.73211,                0.66251,                0.71472,                0.44398,                 1.3114,                 2.0278,                 1.2999,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1742,                 1.3278,                 1.1866,                0.79891,                0.74919,                0.83445,                0.52042,                 1.2319,                 1.5765,                 1.2782,              0.0011634,              0.0011634,              0.0011634
                      9,                  1.173,                 1.2837,                 1.1958,                0.73967,                0.66937,                0.79588,                0.49726,                 1.3109,                 1.5017,                 1.3482,               0.001151,               0.001151,               0.001151
                     10,                 1.1546,                 1.2188,                 1.1845,                0.82481,                0.80739,                0.83737,                0.54998,                 1.2057,                 1.3679,                 1.2304,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1719,                  1.198,                 1.1951,                0.91869,                0.80982,                0.87066,                0.55175,                 1.2555,                 1.2238,                 1.2571,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1327,                 1.1588,                 1.1639,                0.78903,                 0.7818,                0.85912,                0.58316,                 1.1665,                 1.2201,                 1.1998,              0.0011139,              0.0011139,              0.0011139
