                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.4832,                 2.8698,                 2.9196,                0.59915,                0.14935,                0.09112,                0.03383,                 2.4266,                 3.6732,                 2.9491,               0.000854,               0.000854,               0.000854
                     34,                 2.4902,                 2.9331,                 2.9161,                0.59214,                0.21753,                0.13849,                0.05435,                  2.569,                 3.5838,                 3.0105,             0.00084162,             0.00084162,             0.00084162
                     35,                 2.4008,                  2.834,                 2.8259,                0.80321,                0.27597,                0.30871,                0.15804,                 2.5053,                 3.8412,                 2.9598,             0.00082925,             0.00082925,             0.00082925
                     36,                 2.3537,                 2.8085,                 2.8093,                0.97282,                0.18672,                0.29079,                0.15668,                 2.4308,                 5.0765,                 2.9619,             0.00081688,             0.00081688,             0.00081688
                     37,                 2.3189,                 2.7125,                 2.8471,                0.81995,                0.20455,                0.23678,                0.12081,                 2.4091,                 7.1357,                 3.1024,              0.0008045,              0.0008045,              0.0008045
                     38,                 2.4035,                 2.7603,                 2.8685,                0.89163,                0.20455,                0.18816,                0.07327,                 2.5657,                 4.9594,                 3.1369,             0.00079213,             0.00079213,             0.00079213
                     39,                 2.3776,                 2.7415,                 2.7837,                0.87586,                0.20455,                 0.2803,                0.10745,                 2.5101,                 5.1775,                 2.9544,             0.00077975,             0.00077975,             0.00077975
                     40,                 2.2979,                 2.9009,                  2.846,                0.62557,                0.38312,                0.31566,                0.12383,                 2.4797,                 4.3147,                 2.9133,             0.00076738,             0.00076738,             0.00076738
                     41,                  2.319,                 2.6147,                 2.7354,                0.57551,                0.33442,                0.37968,                0.19066,                 2.3878,                  3.075,                 2.8202,               0.000755,               0.000755,               0.000755
                     42,                 2.4379,                 2.7173,                 2.8287,                0.88275,                0.18182,                0.25622,                 0.1242,                 2.4032,                 3.0766,                 2.8529,             0.00074263,             0.00074263,             0.00074263
                     43,                 2.3767,                 2.7419,                 2.8155,                0.42614,                0.39575,                0.28012,                 0.1513,                 2.1817,                 3.0132,                 2.7435,             0.00073025,             0.00073025,             0.00073025
                     44,                 2.2965,                 2.6624,                 2.7292,                0.75592,                 0.2482,                0.28205,                0.17099,                   2.19,                  2.973,                 2.7001,             0.00071788,             0.00071788,             0.00071788
                     45,                 2.3054,                  2.648,                 2.7736,                0.57597,                0.31867,                0.30497,                0.15593,                 2.2915,                 2.9697,                 2.7431,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.2829,                 2.7939,                 2.7608,                0.14179,                0.24675,                0.24741,                0.09635,                 2.2047,                 2.9905,                 2.7589,             0.00069313,             0.00069313,             0.00069313
                     47,                 2.2438,                 2.6296,                 2.6755,                0.74233,                0.28116,                  0.298,                0.11803,                 2.1622,                 3.0029,                 2.7487,             0.00068075,             0.00068075,             0.00068075
                     48,                 2.2191,                 2.5667,                 2.6822,                0.71277,                0.28909,                0.34218,                0.13478,                 2.1236,                 2.9411,                 2.7371,             0.00066838,             0.00066838,             0.00066838
                     49,                 2.2291,                  2.638,                  2.697,                0.96821,                0.20779,                0.35773,                0.18957,                  2.072,                 2.7833,                 2.7466,               0.000656,               0.000656,               0.000656
                     50,                 2.2212,                 2.5037,                  2.665,                0.49281,                0.35711,                 0.4136,                0.21969,                 2.1055,                 2.8076,                 2.8247,             0.00064362,             0.00064362,             0.00064362
                     51,                 2.1845,                 2.4537,                 2.6203,                 0.8253,                0.31169,                0.37241,                0.15271,                 2.1418,                 2.8391,                 2.8432,             0.00063125,             0.00063125,             0.00063125
                     52,                  2.152,                 2.5311,                 2.6465,                0.52493,                 0.3474,                 0.3816,                0.14691,                 2.1385,                 2.8781,                 2.8196,             0.00061887,             0.00061887,             0.00061887
                     53,                 2.1662,                 2.4294,                 2.6314,                0.39381,                0.32873,                0.35645,                0.16328,                 2.1348,                 2.9412,                 2.7548,              0.0006065,              0.0006065,              0.0006065
                     54,                  2.126,                 2.3453,                 2.5566,                0.57273,                0.32873,                0.33892,                0.13292,                 2.2435,                 2.9221,                 2.7728,             0.00059413,             0.00059413,             0.00059413
